PERIODE,CPTE,score_risque,score_pct,niveau_alerte,action_recommandee,NBRJDEP,NBRJDEB,RISK_BRUT,MVT,NET_MONTHLY,AGE,AVG_DEP_3M,DAYS_OVD_6M,REV_VARIANCE,NBRJDEP_LAG1,DELTA_NBRJDEP,MOIS_CONSEC,GENDER,SECTOR,MARITAL_STATUS,EMPLOYMENT_STATUS,POST_CODE,niveau_precedent,transition,evolution,priorite_intervention,statut_suivi
2024-11-01,CPTE_000439,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,22,21,736.15,3651.75,4316.22,51,16.67,95.0,551.4,13.0,9.0,23,M,Agriculture,Veuf/Veuve,Retraité,6500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000772,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,22,20,897.13,7515.89,4513.66,29,18.67,108.0,1680.77,20.0,2.0,23,F,Commerce,Marié(e),Fonctionnaire,8500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000790,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,22,22,909.79,9677.05,1763.31,58,16.0,102.0,3456.34,18.0,4.0,23,F,Commerce,Divorcé(e),Salarié,6500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000558,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,21,21,894.18,9105.9,4715.51,20,15.67,98.0,348.37,15.0,6.0,23,M,Administration,Célibataire,Retraité,9000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000570,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,21,19,773.33,8244.83,1009.89,53,18.67,112.0,725.97,19.0,2.0,23,F,Agriculture,Célibataire,Salarié,7500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000073,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,20,20,879.38,10158.62,3150.26,53,18.33,113.0,1704.02,18.0,2.0,23,F,Agriculture,Divorcé(e),Fonctionnaire,8000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000562,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,20,20,783.48,9308.05,2826.96,29,19.0,107.0,1260.16,19.0,1.0,23,M,Industrie,Célibataire,Fonctionnaire,6500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000033,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,19,18,918.79,15061.5,2963.63,48,16.33,106.0,5220.51,18.0,1.0,23,F,Industrie,Veuf/Veuve,Sans emploi,9000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000099,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,19,17,836.87,3272.32,1009.61,51,17.0,98.0,893.36,17.0,2.0,23,M,Artisanat,Veuf/Veuve,Fonctionnaire,9500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000179,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,19,17,730.42,8354.78,5120.54,53,16.0,99.0,1361.89,15.0,4.0,23,M,Industrie,Divorcé(e),Sans emploi,3500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000378,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,19,18,712.78,14500.49,2165.66,44,18.0,106.0,1334.76,15.0,4.0,23,M,Agriculture,Célibataire,Sans emploi,8000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000522,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,19,17,937.77,5333.38,4889.52,31,20.0,99.0,1276.73,17.0,2.0,23,M,Artisanat,Marié(e),Salarié,6500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000710,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,19,18,905.27,14929.84,4189.22,41,17.67,103.0,3835.37,21.0,-2.0,23,M,Industrie,Célibataire,Retraité,9500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000133,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,18,18,701.39,15262.93,3322.38,64,17.67,102.0,2095.11,21.0,-3.0,23,F,Services,Divorcé(e),Salarié,6500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000188,0.9966,99.7,Critique,Intervention immédiate aujourd'hui,18,16,961.37,18187.21,4416.83,49,18.33,101.0,2500.51,17.0,1.0,23,M,Artisanat,Divorcé(e),Sans emploi,7500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000199,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,18,17,986.45,7464.56,1977.25,34,20.0,112.0,720.16,20.0,-2.0,23,F,Agriculture,Marié(e),Retraité,6500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000215,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,18,17,846.89,8526.69,3499.14,58,16.67,99.0,1177.71,15.0,3.0,23,F,Administration,Veuf/Veuve,Fonctionnaire,7500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000300,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,18,18,962.38,6086.09,2722.23,64,17.0,97.0,453.14,18.0,0.0,23,F,Commerce,Célibataire,Fonctionnaire,7500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000517,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,18,16,845.44,2229.1,1139.06,35,22.33,118.0,799.58,23.0,-5.0,23,M,Artisanat,Marié(e),Sans emploi,8500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000611,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,18,17,959.74,7597.97,1346.07,39,21.0,113.0,1737.51,23.0,-5.0,23,F,Industrie,Marié(e),Retraité,8500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000721,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,18,16,831.95,5675.38,3682.93,34,18.33,109.0,1538.86,19.0,-1.0,23,M,Agriculture,Veuf/Veuve,Salarié,7500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000739,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,18,16,886.13,2293.0,4912.52,24,18.67,107.0,412.35,20.0,-2.0,23,F,Agriculture,Veuf/Veuve,Sans emploi,7000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000758,0.9966,99.7,Critique,Intervention immédiate aujourd'hui,18,16,742.04,15017.58,5894.24,46,16.33,104.0,2821.71,17.0,1.0,23,M,Administration,Divorcé(e),Retraité,9500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000071,0.9966,99.7,Critique,Intervention immédiate aujourd'hui,17,17,744.95,3634.96,2624.48,20,18.67,118.0,512.53,20.0,-3.0,23,M,Services,Divorcé(e),Retraité,9000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000367,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,17,16,707.07,15501.22,3024.6,61,15.33,101.0,826.85,18.0,-1.0,23,F,Services,Marié(e),Fonctionnaire,8000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000394,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,17,16,754.06,11825.09,1694.71,54,18.33,110.0,1229.52,14.0,3.0,23,M,Commerce,Marié(e),Salarié,9000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000514,0.9966,99.7,Critique,Intervention immédiate aujourd'hui,17,15,715.19,21807.87,5698.63,44,18.33,110.0,5628.63,19.0,-2.0,23,F,Commerce,Divorcé(e),Salarié,3500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000644,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,17,15,917.74,5761.32,3713.81,52,16.67,102.0,1607.82,15.0,2.0,23,F,Agriculture,Célibataire,Salarié,7000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000014,0.9966,99.7,Critique,Intervention immédiate aujourd'hui,16,15,767.63,20655.33,4624.66,64,17.67,110.0,2995.65,16.0,0.0,23,M,Services,Célibataire,Indépendant,7500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000653,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,16,15,888.05,5620.23,5035.87,29,17.67,108.0,3495.16,21.0,-5.0,23,M,Agriculture,Marié(e),Salarié,7000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000767,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,16,15,890.76,16905.52,3059.91,48,19.33,110.0,2909.6,23.0,-7.0,23,F,Industrie,Célibataire,Salarié,6500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000293,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,15,13,935.68,4951.61,1216.91,50,19.33,102.0,565.71,17.0,-2.0,23,M,Agriculture,Veuf/Veuve,Fonctionnaire,8500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000529,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,15,14,707.66,2494.12,3082.22,24,18.67,112.0,361.14,16.0,-1.0,23,F,Agriculture,Divorcé(e),Fonctionnaire,6500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000613,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,15,13,867.53,10927.27,3971.34,24,18.0,99.0,3525.33,19.0,-4.0,23,M,Commerce,Veuf/Veuve,Retraité,7500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000678,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,15,15,890.24,7074.74,3905.37,21,19.67,106.0,1790.77,15.0,0.0,23,M,Agriculture,Veuf/Veuve,Fonctionnaire,7000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000719,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,15,15,937.79,6592.39,1581.05,27,17.67,109.0,2783.01,18.0,-3.0,23,F,Artisanat,Veuf/Veuve,Salarié,9500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000159,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,14,14,880.45,5763.86,3831.48,34,18.0,110.0,781.13,20.0,-6.0,23,F,Agriculture,Célibataire,Fonctionnaire,9000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000575,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,14,13,802.43,13300.32,4832.18,23,18.67,116.0,1747.1,20.0,-6.0,23,M,Industrie,Veuf/Veuve,Fonctionnaire,6500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000761,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,14,12,702.84,4320.23,3383.02,40,14.67,94.0,551.71,14.0,0.0,23,M,Agriculture,Divorcé(e),Retraité,7500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000371,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,13,13,805.07,13946.0,1107.7,54,17.33,101.0,2185.16,12.0,1.0,23,F,Artisanat,Célibataire,Indépendant,7000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000581,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,13,13,784.02,17423.91,550.15,45,18.0,109.0,5140.61,16.0,-3.0,23,M,Artisanat,Veuf/Veuve,Fonctionnaire,9000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000171,0.9966,99.7,Critique,Intervention immédiate aujourd'hui,12,12,391.54,12385.27,5160.12,55,8.0,45.0,1258.79,7.0,5.0,23,M,Commerce,Divorcé(e),Sans emploi,7500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000718,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,12,11,212.17,14657.99,1699.82,35,12.33,62.0,1973.66,14.0,-2.0,23,M,Agriculture,Veuf/Veuve,Fonctionnaire,9500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000776,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,12,10,974.07,3711.69,2986.43,52,18.67,105.0,1272.16,20.0,-8.0,23,M,Commerce,Marié(e),Fonctionnaire,8500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000050,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,11,10,990.69,18637.52,1413.98,47,16.67,100.0,3264.22,15.0,-4.0,23,F,Agriculture,Célibataire,Sans emploi,6500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000346,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,11,11,270.0,13936.55,2438.25,38,8.0,49.0,1923.52,9.0,2.0,23,M,Industrie,Veuf/Veuve,Fonctionnaire,8000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000024,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,10,10,340.9,6051.37,3208.23,44,8.0,44.0,1986.06,10.0,0.0,23,F,Commerce,Divorcé(e),Salarié,8000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000178,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,10,8,239.74,13877.18,2637.99,39,7.67,48.0,1192.24,9.0,1.0,23,M,Artisanat,Célibataire,Sans emploi,7000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000436,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,10,10,284.15,8146.7,3681.85,26,9.0,52.0,2031.2,9.0,1.0,23,M,Commerce,Divorcé(e),Sans emploi,8500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000569,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,10,9,723.6,7399.14,5618.56,23,18.33,109.0,1010.41,20.0,-10.0,23,F,Artisanat,Divorcé(e),Salarié,1000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000025,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,9,8,236.55,10505.48,3771.63,49,8.67,47.0,681.5,8.0,1.0,23,F,Administration,Marié(e),Salarié,8500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000350,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,9,7,328.45,8915.72,3326.09,25,9.0,49.0,2202.67,10.0,-1.0,23,F,Artisanat,Veuf/Veuve,Sans emploi,8500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000601,0.9966,99.7,Critique,Intervention immédiate aujourd'hui,9,9,228.53,9101.7,2532.63,20,8.67,48.0,1993.65,11.0,-2.0,23,M,Administration,Marié(e),Retraité,7000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000281,0.9966,99.7,Critique,Intervention immédiate aujourd'hui,8,6,318.97,21259.0,3842.33,58,7.0,34.0,1920.89,5.0,3.0,23,F,Artisanat,Marié(e),Retraité,9500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000388,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,8,6,260.67,12046.14,2002.99,22,11.33,52.0,3741.9,8.0,0.0,23,M,Agriculture,Veuf/Veuve,Salarié,8500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000397,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,8,6,291.18,5381.5,1362.39,51,10.33,49.0,1186.68,12.0,-4.0,23,F,Services,Divorcé(e),Fonctionnaire,9000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000651,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,8,8,256.28,8025.34,3562.93,59,9.33,45.0,1659.54,11.0,-3.0,23,M,Services,Divorcé(e),Retraité,8500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000729,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,8,8,244.21,17013.71,1914.58,47,6.67,48.0,2832.81,3.0,5.0,23,M,Industrie,Marié(e),Retraité,9500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000061,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,7,5,357.16,3843.05,4021.72,55,9.0,51.0,744.85,9.0,-2.0,7,M,Industrie,Marié(e),Sans emploi,7000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000238,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,7,7,208.32,9100.99,2846.93,42,8.67,41.0,3261.36,13.0,-6.0,23,M,Industrie,Veuf/Veuve,Sans emploi,9000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000257,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,7,5,343.41,6019.77,1485.45,26,7.0,54.0,1506.64,6.0,1.0,23,F,Artisanat,Veuf/Veuve,Sans emploi,7500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000314,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,7,7,330.99,9401.46,3966.68,38,6.33,56.0,1060.85,7.0,0.0,23,M,Services,Veuf/Veuve,Fonctionnaire,9000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000400,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,7,7,245.95,8332.25,880.53,41,8.0,47.0,1337.04,10.0,-3.0,23,M,Administration,Veuf/Veuve,Salarié,9500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000471,0.9965,99.7,Critique,Intervention immédiate aujourd'hui,7,7,375.7,4566.35,645.04,44,8.0,52.0,806.16,12.0,-5.0,23,M,Commerce,Marié(e),Sans emploi,7000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000528,0.9969,99.7,Critique,Intervention immédiate aujourd'hui,4,3,359.11,21816.82,2058.5,47,6.0,44.0,8678.34,8.0,-4.0,4,F,Commerce,Marié(e),Retraité,8000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000089,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,25,25,937.36,13651.86,3843.14,39,18.0,105.0,3334.38,18.0,7.0,23,M,Agriculture,Marié(e),Sans emploi,1000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000667,0.9965,99.6,Critique,Intervention immédiate aujourd'hui,25,25,882.14,19011.21,1909.33,56,17.0,90.0,4722.14,18.0,7.0,23,M,Commerce,Célibataire,Retraité,9500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000004,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,24,22,963.0,26922.41,674.75,31,16.33,106.0,5193.96,15.0,9.0,23,M,Commerce,Divorcé(e),Sans emploi,5500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000318,0.9958,99.6,Critique,Intervention immédiate aujourd'hui,23,23,712.0,20422.74,894.13,40,12.33,91.0,7747.78,15.0,8.0,23,F,Services,Célibataire,Sans emploi,4500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000446,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,22,22,974.35,23632.25,840.08,55,20.67,114.0,4640.55,19.0,3.0,23,F,Administration,Marié(e),Salarié,2500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000649,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,22,20,744.72,10810.92,1207.62,23,16.33,97.0,1742.49,15.0,7.0,23,F,Agriculture,Veuf/Veuve,Indépendant,3000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000195,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,21,19,991.7,14383.28,4060.17,22,17.33,104.0,1810.51,18.0,3.0,23,M,Artisanat,Célibataire,Salarié,4500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000304,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,21,20,829.09,15569.16,3385.56,30,15.0,99.0,1769.71,17.0,4.0,23,M,Industrie,Veuf/Veuve,Sans emploi,6000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000363,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,21,21,877.76,8973.04,2179.75,52,18.0,114.0,869.97,22.0,-1.0,23,M,Artisanat,Célibataire,Sans emploi,4500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000488,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,21,19,944.48,10209.4,3476.39,37,20.67,103.0,2365.49,22.0,-1.0,23,M,Administration,Veuf/Veuve,Sans emploi,3500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000604,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,21,21,924.59,2682.54,2395.74,27,18.0,110.0,559.08,15.0,6.0,23,M,Commerce,Célibataire,Indépendant,2500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000661,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,21,20,768.08,21617.68,827.54,52,18.67,106.0,6700.76,21.0,0.0,23,F,Services,Marié(e),Retraité,1000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000066,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,20,18,700.02,8063.53,3017.84,28,17.33,108.0,1364.95,17.0,3.0,23,F,Administration,Veuf/Veuve,Fonctionnaire,5000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000086,0.9963,99.6,Critique,Intervention immédiate aujourd'hui,20,20,925.73,15916.61,4653.83,46,15.0,103.0,944.41,15.0,5.0,23,M,Administration,Divorcé(e),Retraité,3000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000149,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,20,19,963.39,9199.11,3121.15,36,15.33,107.0,345.8,10.0,10.0,23,M,Artisanat,Marié(e),Indépendant,1500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000278,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,20,18,999.2,15483.23,2107.61,24,22.0,119.0,3163.83,26.0,-6.0,23,F,Industrie,Célibataire,Sans emploi,6000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000375,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,20,19,808.33,16419.53,2705.95,28,18.67,118.0,3189.79,22.0,-2.0,23,M,Artisanat,Marié(e),Salarié,2000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000430,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,20,20,716.34,7111.35,3390.68,29,18.0,101.0,1165.56,16.0,4.0,23,M,Administration,Veuf/Veuve,Retraité,3000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000510,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,20,18,869.75,2352.78,2670.98,23,18.0,108.0,545.06,18.0,2.0,23,M,Services,Veuf/Veuve,Fonctionnaire,5500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000689,0.9965,99.6,Critique,Intervention immédiate aujourd'hui,20,20,845.0,10371.4,3653.91,33,20.0,121.0,2714.76,16.0,4.0,23,M,Services,Marié(e),Indépendant,6500,Critique,Critique → Critique,Stable,Priorité 1,À contacter
2024-11-01,CPTE_000702,0.9964,99.6,Critique,Intervention immédiate aujourd'hui,20,19,899.16,14472.3,3803.28,60,17.33,110.0,2400.66,17.0,3.0,23,M,Artisanat,Veuf/Veuve,Retraité,6000,Critique,Critique → Critique,Stable,Priorité 1,À contacter
