PERIODE,CPTE,NBRJDEP,NBRJDEB,RISK_BRUT,MVT,NET_MONTHLY,DATE_OF_BIRTH,GENDER,SECTOR,MARITAL_STATUS,EMPLOYMENT_STATUS,POST_CODE,AGE
2023-01-01,CPTE_000001,0,0,95.27,3486.32,2587.11,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,46
2023-02-01,CPTE_000001,0,0,0.0,3447.39,2447.08,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,46
2023-03-01,CPTE_000001,0,0,0.0,4521.74,2306.66,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,46
2023-04-01,CPTE_000001,1,0,36.82,3321.2,2720.03,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,46
2023-05-01,CPTE_000001,0,0,157.98,4069.74,2431.84,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,46
2023-06-01,CPTE_000001,6,4,184.67,3343.12,2491.75,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,47
2023-07-01,CPTE_000001,3,2,149.96,5000.85,2467.43,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,47
2023-08-01,CPTE_000001,0,0,98.76,3958.27,2063.65,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,47
2023-09-01,CPTE_000001,0,0,152.69,3850.2,2007.52,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,47
2023-10-01,CPTE_000001,0,0,118.18,4366.33,2095.24,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,47
2023-11-01,CPTE_000001,1,1,76.03,5047.15,2591.37,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,47
2023-12-01,CPTE_000001,2,0,0.0,4241.91,2794.47,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,47
2024-01-01,CPTE_000001,2,2,177.89,4790.21,2736.6,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,47
2024-02-01,CPTE_000001,1,0,86.99,3435.42,2518.97,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,47
2024-03-01,CPTE_000001,4,2,77.39,4736.89,2684.14,1976-11-03,M,Industrie,Veuf/Veuve,Sans emploi,4000,47
