PERIODE,CPTE,score_risque,score_pct,niveau_alerte,action_recommandee,NBRJDEP,NBRJDEB,RISK_BRUT,MVT,NET_MONTHLY,AGE,AVG_DEP_3M,DAYS_OVD_6M,REV_VARIANCE,NBRJDEP_LAG1,DELTA_NBRJDEP,MOIS_CONSEC,GENDER,SECTOR,MARITAL_STATUS,EMPLOYMENT_STATUS,POST_CODE
2023-01-01,CPTE_000659,0.993,99.3,Critique,Intervention immédiate aujourd'hui,14,14,374.21,16262.3,4579.1,28,0.0,0.0,0.0,0.0,14.0,1,F,Services,Veuf/Veuve,Fonctionnaire,9500
2023-01-01,CPTE_000004,0.9918,99.2,Critique,Intervention immédiate aujourd'hui,18,17,911.75,26603.4,758.19,29,0.0,0.0,0.0,0.0,18.0,1,M,Commerce,Divorcé(e),Sans emploi,5500
2023-01-01,CPTE_000005,0.9915,99.2,Critique,Intervention immédiate aujourd'hui,9,8,235.27,16106.74,885.57,53,0.0,0.0,0.0,0.0,9.0,1,F,Services,Marié(e),Indépendant,1500
2023-01-01,CPTE_000008,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,14,12,381.05,6900.61,2787.12,52,0.0,0.0,0.0,0.0,14.0,1,M,Industrie,Veuf/Veuve,Fonctionnaire,2500
2023-01-01,CPTE_000014,0.9925,99.2,Critique,Intervention immédiate aujourd'hui,16,15,823.64,24125.84,5335.44,62,0.0,0.0,0.0,0.0,16.0,1,M,Services,Célibataire,Indépendant,7500
2023-01-01,CPTE_000019,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,14,12,277.42,13869.98,2524.69,38,0.0,0.0,0.0,0.0,14.0,1,M,Industrie,Divorcé(e),Salarié,9500
2023-01-01,CPTE_000023,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,13,12,275.07,7744.77,2536.12,35,0.0,0.0,0.0,0.0,13.0,1,M,Agriculture,Marié(e),Sans emploi,1500
2023-01-01,CPTE_000033,0.9919,99.2,Critique,Intervention immédiate aujourd'hui,23,21,885.58,16393.36,3206.0,46,0.0,0.0,0.0,0.0,23.0,1,F,Industrie,Veuf/Veuve,Sans emploi,9000
2023-01-01,CPTE_000046,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,12,10,354.84,13391.05,4850.27,48,0.0,0.0,0.0,0.0,12.0,1,F,Administration,Divorcé(e),Indépendant,5000
2023-01-01,CPTE_000050,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,22,22,747.82,12746.04,1161.61,45,0.0,0.0,0.0,0.0,22.0,1,F,Agriculture,Célibataire,Sans emploi,6500
2023-01-01,CPTE_000064,0.9916,99.2,Critique,Intervention immédiate aujourd'hui,9,7,231.18,15524.89,681.48,43,0.0,0.0,0.0,0.0,9.0,1,M,Administration,Marié(e),Fonctionnaire,2000
2023-01-01,CPTE_000071,0.9916,99.2,Critique,Intervention immédiate aujourd'hui,21,21,709.92,3478.87,2557.61,18,0.0,0.0,0.0,0.0,21.0,1,M,Services,Divorcé(e),Retraité,9000
2023-01-01,CPTE_000073,0.9921,99.2,Critique,Intervention immédiate aujourd'hui,17,16,709.62,18029.25,3458.71,51,0.0,0.0,0.0,0.0,17.0,1,F,Agriculture,Divorcé(e),Fonctionnaire,8000
2023-01-01,CPTE_000075,0.9916,99.2,Critique,Intervention immédiate aujourd'hui,9,8,279.83,11868.06,3347.9,32,0.0,0.0,0.0,0.0,9.0,1,M,Artisanat,Veuf/Veuve,Salarié,2000
2023-01-01,CPTE_000081,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,11,11,328.42,8082.9,2355.75,54,0.0,0.0,0.0,0.0,11.0,1,M,Commerce,Veuf/Veuve,Retraité,6000
2023-01-01,CPTE_000086,0.9921,99.2,Critique,Intervention immédiate aujourd'hui,19,18,946.91,16713.78,4800.02,44,0.0,0.0,0.0,0.0,19.0,1,M,Administration,Divorcé(e),Retraité,3000
2023-01-01,CPTE_000094,0.9918,99.2,Critique,Intervention immédiate aujourd'hui,11,10,262.02,5680.15,4981.97,20,0.0,0.0,0.0,0.0,11.0,1,F,Commerce,Divorcé(e),Sans emploi,2000
2023-01-01,CPTE_000099,0.9919,99.2,Critique,Intervention immédiate aujourd'hui,17,17,750.78,4630.11,840.07,49,0.0,0.0,0.0,0.0,17.0,1,M,Artisanat,Veuf/Veuve,Fonctionnaire,9500
2023-01-01,CPTE_000117,0.9916,99.2,Critique,Intervention immédiate aujourd'hui,21,19,994.58,19687.34,685.18,50,0.0,0.0,0.0,0.0,21.0,1,F,Artisanat,Marié(e),Retraité,3000
2023-01-01,CPTE_000131,0.9919,99.2,Critique,Intervention immédiate aujourd'hui,13,13,248.53,8136.23,1061.13,59,0.0,0.0,0.0,0.0,13.0,1,F,Artisanat,Célibataire,Salarié,6500
2023-01-01,CPTE_000133,0.992,99.2,Critique,Intervention immédiate aujourd'hui,15,13,724.71,8597.48,3515.56,63,0.0,0.0,0.0,0.0,15.0,1,F,Services,Divorcé(e),Salarié,6500
2023-01-01,CPTE_000145,0.9918,99.2,Critique,Intervention immédiate aujourd'hui,10,9,371.72,16234.33,4300.28,49,0.0,0.0,0.0,0.0,10.0,1,M,Commerce,Célibataire,Fonctionnaire,2500
2023-01-01,CPTE_000159,0.9919,99.2,Critique,Intervention immédiate aujourd'hui,23,23,825.35,8035.25,4070.75,32,0.0,0.0,0.0,0.0,23.0,1,F,Agriculture,Célibataire,Fonctionnaire,9000
2023-01-01,CPTE_000161,0.9918,99.2,Critique,Intervention immédiate aujourd'hui,13,12,214.42,6943.7,4468.56,30,0.0,0.0,0.0,0.0,13.0,1,M,Services,Divorcé(e),Indépendant,9000
2023-01-01,CPTE_000175,0.9916,99.2,Critique,Intervention immédiate aujourd'hui,10,8,237.27,8278.24,2441.98,40,0.0,0.0,0.0,0.0,10.0,1,M,Services,Divorcé(e),Retraité,1000
2023-01-01,CPTE_000188,0.9919,99.2,Critique,Intervention immédiate aujourd'hui,20,18,887.24,18365.31,4230.96,47,0.0,0.0,0.0,0.0,20.0,1,M,Artisanat,Divorcé(e),Sans emploi,7500
2023-01-01,CPTE_000195,0.9916,99.2,Critique,Intervention immédiate aujourd'hui,17,17,803.23,13466.96,4316.12,20,0.0,0.0,0.0,0.0,17.0,1,M,Artisanat,Célibataire,Salarié,4500
2023-01-01,CPTE_000215,0.9918,99.2,Critique,Intervention immédiate aujourd'hui,18,18,988.26,9309.56,3240.28,56,0.0,0.0,0.0,0.0,18.0,1,F,Administration,Veuf/Veuve,Fonctionnaire,7500
2023-01-01,CPTE_000216,0.9915,99.2,Critique,Intervention immédiate aujourd'hui,14,13,237.07,16454.91,1150.27,23,0.0,0.0,0.0,0.0,14.0,1,F,Administration,Divorcé(e),Salarié,1500
2023-01-01,CPTE_000229,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,18,17,738.14,17415.48,974.77,28,0.0,0.0,0.0,0.0,18.0,1,M,Industrie,Divorcé(e),Salarié,2000
2023-01-01,CPTE_000230,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,17,17,874.33,7596.39,727.99,22,0.0,0.0,0.0,0.0,17.0,1,F,Commerce,Célibataire,Salarié,4000
2023-01-01,CPTE_000238,0.992,99.2,Critique,Intervention immédiate aujourd'hui,11,9,282.23,8301.94,2649.01,40,0.0,0.0,0.0,0.0,11.0,1,M,Industrie,Veuf/Veuve,Sans emploi,9000
2023-01-01,CPTE_000241,0.9915,99.2,Critique,Intervention immédiate aujourd'hui,11,10,262.23,10975.78,2767.52,62,0.0,0.0,0.0,0.0,11.0,1,F,Artisanat,Divorcé(e),Indépendant,1000
2023-01-01,CPTE_000253,0.9918,99.2,Critique,Intervention immédiate aujourd'hui,19,19,728.97,1522.7,2419.32,34,0.0,0.0,0.0,0.0,19.0,1,F,Industrie,Divorcé(e),Retraité,2500
2023-01-01,CPTE_000276,0.9918,99.2,Critique,Intervention immédiate aujourd'hui,14,13,249.92,1615.29,1985.41,53,0.0,0.0,0.0,0.0,14.0,1,F,Commerce,Marié(e),Fonctionnaire,2500
2023-01-01,CPTE_000293,0.9916,99.2,Critique,Intervention immédiate aujourd'hui,16,16,786.78,4014.55,1777.77,48,0.0,0.0,0.0,0.0,16.0,1,M,Agriculture,Veuf/Veuve,Fonctionnaire,8500
2023-01-01,CPTE_000304,0.9919,99.2,Critique,Intervention immédiate aujourd'hui,13,12,926.98,26461.49,3267.32,28,0.0,0.0,0.0,0.0,13.0,1,M,Industrie,Veuf/Veuve,Sans emploi,6000
2023-01-01,CPTE_000310,0.9916,99.2,Critique,Intervention immédiate aujourd'hui,16,14,924.27,11765.07,2333.53,20,0.0,0.0,0.0,0.0,16.0,1,M,Services,Veuf/Veuve,Sans emploi,6000
2023-01-01,CPTE_000314,0.9916,99.2,Critique,Intervention immédiate aujourd'hui,11,11,264.08,9063.77,4051.25,36,0.0,0.0,0.0,0.0,11.0,1,M,Services,Veuf/Veuve,Fonctionnaire,9000
2023-01-01,CPTE_000325,0.9915,99.2,Critique,Intervention immédiate aujourd'hui,9,7,327.3,14336.17,4844.9,36,0.0,0.0,0.0,0.0,9.0,1,M,Administration,Veuf/Veuve,Indépendant,2500
2023-01-01,CPTE_000367,0.9916,99.2,Critique,Intervention immédiate aujourd'hui,15,13,952.33,9988.74,2999.0,60,0.0,0.0,0.0,0.0,15.0,1,F,Services,Marié(e),Fonctionnaire,8000
2023-01-01,CPTE_000371,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,21,21,720.08,14633.25,1048.08,52,0.0,0.0,0.0,0.0,21.0,1,F,Artisanat,Célibataire,Indépendant,7000
2023-01-01,CPTE_000374,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,10,8,365.22,14596.75,4236.04,29,0.0,0.0,0.0,0.0,10.0,1,F,Agriculture,Veuf/Veuve,Sans emploi,9000
2023-01-01,CPTE_000378,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,18,18,832.09,13555.67,2165.1,42,0.0,0.0,0.0,0.0,18.0,1,M,Agriculture,Célibataire,Sans emploi,8000
2023-01-01,CPTE_000387,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,17,15,934.9,20140.09,1182.56,48,0.0,0.0,0.0,0.0,17.0,1,M,Services,Veuf/Veuve,Salarié,8000
2023-01-01,CPTE_000392,0.9915,99.2,Critique,Intervention immédiate aujourd'hui,14,14,982.85,18527.23,1180.99,34,0.0,0.0,0.0,0.0,14.0,1,M,Agriculture,Célibataire,Salarié,2500
2023-01-01,CPTE_000394,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,18,17,919.31,10024.73,1554.4,52,0.0,0.0,0.0,0.0,18.0,1,M,Commerce,Marié(e),Salarié,9000
2023-01-01,CPTE_000403,0.9923,99.2,Critique,Intervention immédiate aujourd'hui,22,21,780.58,7532.53,448.18,20,0.0,0.0,0.0,0.0,22.0,1,F,Commerce,Veuf/Veuve,Salarié,3500
2023-01-01,CPTE_000414,0.992,99.2,Critique,Intervention immédiate aujourd'hui,21,21,853.57,19058.47,3373.47,57,0.0,0.0,0.0,0.0,21.0,1,F,Agriculture,Divorcé(e),Retraité,8000
2023-01-01,CPTE_000430,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,14,12,779.52,8334.72,3228.45,28,0.0,0.0,0.0,0.0,14.0,1,M,Administration,Veuf/Veuve,Retraité,3000
2023-01-01,CPTE_000442,0.9917,99.2,Critique,Intervention immédiate aujourd'hui,19,19,960.98,13495.78,1351.3,39,0.0,0.0,0.0,0.0,19.0,1,F,Artisanat,Marié(e),Retraité,7000
2023-01-01,CPTE_000446,0.9916,99.2,Critique,Intervention immédiate aujourd'hui,21,19,946.91,20855.63,967.29,53,0.0,0.0,0.0,0.0,21.0,1,F,Administration,Marié(e),Salarié,2500
2023-01-01,CPTE_000454,0.9916,99.2,Critique,Intervention immédiate aujourd'hui,11,10,394.41,10409.34,1708.71,40,0.0,0.0,0.0,0.0,11.0,1,M,Administration,Marié(e),Indépendant,9000
